"";"PC1";"PC2";"PC3";"PC4";"PC5";"PC6";"PC7";"PC8";"PC9";"PC10";"PC11";"PC12";"PC13";"PC14";"PC15";"PC16"
"Mxi1";-0,00499179102721921;-0,0224374264905275;0,0262478863124135;0,00644580498766204;0,0196468183702556;0,0375092914225232;0,00478891871665225;-0,040948310369036;0,0248077540268689;-0,0408775532823951;0,0971431968706808;0,00588604106217522;0,120090014561247;-0,0481641926230881;0,0134313475315907;-0,144595601189121
"Umps";0,0639354081989287;-0,053858578745262;0,0242208573156627;-0,0136161629170962;-0,0810761354937783;0,0856510435001841;-0,103353972809901;0,0431574688855574;0,0174286327159673;0,0223909710530508;-0,072141622429706;0,0545977175046815;-0,00504866674702893;-0,0250276899386792;0,0703487259605712;-0,00391923803804556
"Map3k1";0,0172656503105061;-0,0195077540697119;0,00443933459485097;0,0293926350465293;0,0525124145439307;0,109982407874619;-0,0547006560489378;0,0452958854083548;-0,0144160857991776;-0,0180473732426416;0,0520264310398355;0,0568121585588637;-0,0194180436899986;-0,0388083063487288;0,064183734654128;0,0923124383534524
"Mlycd";-0,0489293033126354;-0,0487628185562569;0,0491419577182742;-0,0508592389018777;0,0310221167967069;-0,0212038515668722;0,0222290326947469;-0,013999131484589;0,062240250957906;-0,0839037584667987;-0,020443866460351;-0,0870373179406411;-0,0285908013181799;-0,0175577384384872;-0,0993892563524096;0,0185929127798629
"Nudt16l1";-0,0253409585972545;0,00161987685706467;0,0223110250332858;0,0712174295350563;-0,0547585451066015;0,0678258661519346;-0,0446304672515134;0,0416203274224647;-0,0149944926639719;0,00418818698150863;-0,0358823853090919;0,00613944190902086;-0,0730143981828578;-0,0498163253179888;0,0190477098645005;-0,0202694381339705
"Sorbs3";-0,0602303981619351;0,0605247955118834;-0,191555833427334;0,140847170338684;-0,171070231818984;-0,0564352542878719;0,0453601623306756;-0,0299434389837833;0,0124051936486952;0,13649059023521;0,187858825423312;0,220804778473706;0,0543015240654679;0,0017946440117275;-0,0633419955515253;-0,0184149767465294
"Krt79";0,11475649860458;-0,12208391702839;-0,277804442638388;0,0097981743407789;0,00631092151024259;-0,0595777882525004;-0,220048648983841;-0,114990028310278;0,143102576783973;0,117279056435689;-0,167814238503542;-0,189439923039004;0,000381841528725915;-0,0143542411342719;-0,0579681664103643;0,0317627233022159
"Cpn1";-0,0891159826381517;0,0689167434092248;0,0462991235976478;-0,172705584795624;-0,114598106779285;0,198820078480625;0,00295729283114369;-0,0108356583474201;-0,166325332786052;0,123937389822798;-0,0317603288729233;-0,093527718975031;0,054290912699798;-0,0214157616247113;-0,00641425268628342;-0,0258304575163088
"Pagr1a";0,0517791008598184;-0,0935412169836716;0,112778724302069;0,0405772372298402;0,085519157218709;0,0776706897593563;-0,0177501213477204;-0,016015075713745;0,156186211954219;0,0598752563901397;0,0598165956496412;0,0418916056846031;0,0691548661121559;0,552782802205579;0,103699465966402;0,0579160566663497
"2610528A11Rik";0,137997241445185;0,0315169586282262;-0,0613514507836994;-0,0222750696677701;0,36102630607271;0,226898771710449;0,0783987755351916;-0,244080016633933;0,325571928481174;0,235614269261621;-0,25099607811257;-0,0105551106147056;0,0338446882896279;-0,0269565764966487;0,109908808779461;-0,0399077787248988
"BC024139";-0,0559419664937486;-0,0248241628262353;0,0302298514960131;0,0116350774583844;-0,00669478268151819;0,0281373600914248;-0,0101124941660852;-0,0271843294788733;0,00638331056026424;-0,0216236181574213;-0,0194088966176147;-0,0661376949260456;0,0077684440670545;-0,109054746982043;-0,175672262111965;-0,00842398310035673
"Nat8f4";-0,0354445469773011;-0,138826938518846;0,00237148389739395;-0,0560567529679706;0,0349248691514275;-0,0768723218660741;-0,0510708068949763;0,037449061883258;-0,00563999280928189;0,204094907625075;0,0669641577969506;-0,02213723296813;0,205544461705514;0,0991920228853797;0,00262974631036221;-0,0651241123428572
"Inafm1";-0,0431368151691351;-0,0238589783549553;0,0380999161237421;0,0361227607408946;0,00860985280545657;0,0413103782301532;0,017640723784165;-0,0719268436619087;-0,0933092406386697;-0,0876739451000837;-0,0152265533535303;-0,0312887178518813;-0,0106722020695752;0,0204727950517635;-0,0266766885786988;0,00911751505898264
"Csdc2";-0,0860722471730905;-0,143299722082691;-0,13891288601126;0,0948402499150787;-0,124587919696195;0,102195507018837;-0,129762496689937;0,0953345565839263;0,214577919820896;0,136756711847849;0,148343334107015;-0,0813388804863238;-0,0154537222403556;-0,024050578623507;0,00366259035646161;-0,107444845433737
"Fcgbp";-0,0481586945298682;0,379233791094224;0,01626848401108;0,238941018117632;0,146727930368176;-0,0382435801420024;-0,0781325457075519;-0,10067722518511;-0,185152047403502;0,226728936575724;-0,0348565311921439;-0,0432999707849255;-0,0320816249743884;-0,0589412941052292;0,00263477502136191;0,0561786968960961
"Pdia4";-0,0379747416302558;0,0288533861523724;-0,0657660328213374;-0,0931223254294298;-0,0147838970516511;-0,0587619751995771;0,102713319949306;0,0980224347644325;0,00364042161438879;0,0124320328214341;-0,0764999850038636;-0,0244028205833088;0,0483736644337784;0,0230396071352965;-0,0584138666355649;0,0403764958304151
"Zfp956";-0,0753871526558021;-0,0656642369351291;0,0782187529757381;0,0245340858952802;0,00266029172021826;-0,0492661362699855;0,0193725901254016;0,0125427666840546;-0,0291970084796576;0,00345246434197203;-0,0802273600127674;-0,00303977152632131;0,00388556639893663;0,0185446007705947;-0,0718547590442252;-0,0471397261132594
